City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,sistranda,75,NO,1516866600,86,63.73,8.83,39.2,27.51
135,bull savanna,24,JM,1516867558,85,17.89,-77.59,67.75,3.74
136,pochutla,0,MX,1516867558,100,15.74,-96.47,78.23,4.29
137,travesia,92,HN,1516867559,99,15.87,-87.9,67.3,2.06
138,bilma,0,NE,1516866992,56,18.69,12.92,61.09,11.23
139,nalut,0,LY,1516866994,96,31.86,10.98,49.25,6.2
140,calvinia,0,ZA,1516863180,46,-31.47,19.78,73.4,12.75
141,tiksi,8,RU,1516867561,69,71.64,128.87,-23.16,3.06
142,kinshasa,20,CD,1516863600,88,-4.32,15.31,73.4,4.7
143,kapuskasing,75,CA,1516863600,83,49.42,-82.43,-13.01,4.7
144,codrington,64,AU,1516867146,79,-28.95,153.24,76.07,3.74
145,the pas,5,CA,1516863600,76,53.82,-101.24,-11.21,8.05
146,gornyy,88,RU,1516867563,88,51.76,48.54,13.84,11.45
147,thompson,5,CA,1516863600,67,55.74,-97.86,-27.41,2.62
148,half moon bay,90,US,1516865880,100,37.46,-122.43,50.0,8.66
149,port keats,48,AU,1516867565,75,-14.25,129.55,88.76,13.91
150,balkanabat,0,TM,1516867566,62,39.51,54.36,49.61,2.95
151,kaeo,0,NZ,1516867566,73,-35.1,173.78,69.5,1.72
152,ribeira grande,20,PT,1516865400,71,38.52,-28.7,51.8,9.17
153,brookings,1,US,1516866960,85,44.31,-96.8,15.8,3.36
154,bonavista,92,CA,1516867569,92,48.65,-53.11,34.85,16.49
155,qiyang,92,CN,1516867569,100,26.59,111.85,33.32,10.67
156,aklavik,90,CA,1516863600,76,68.22,-135.01,-11.21,3.36
157,tlapehuala,24,MX,1516867570,92,18.24,-100.54,55.6,1.28
158,olot,0,UZ,1516865400,47,39.42,63.81,39.2,6.93
159,along,100,IN,1516867571,99,28.17,94.8,52.13,1.5
160,chuy,64,UY,1516867572,87,-33.69,-53.46,65.5,10.0
161,port alfred,80,ZA,1516867573,88,-33.59,26.89,72.2,5.64
162,tecoanapa,20,MX,1516862940,83,16.99,-99.26,77.0,3.51
163,nuevo laredo,1,US,1516864500,42,27.49,-99.5,48.2,6.93
164,karratha,36,AU,1516867382,35,-20.74,116.85,100.37,11.01
165,tilichiki,88,RU,1516866991,90,60.47,166.1,29.86,9.89
166,tombouctou,0,ML,1516867575,42,16.77,-3.01,63.92,6.76
167,butaritari,0,KI,1516867576,99,3.07,172.79,82.69,16.49
168,antofagasta,40,CL,1516863600,88,-23.65,-70.4,62.6,1.12
169,leningradskiy,48,RU,1516867577,98,69.38,178.42,-8.22,0.94
170,bluff,80,AU,1516867577,41,-23.58,149.07,89.44,17.05
171,nanortalik,92,GL,1516867077,97,60.14,-45.24,31.21,36.17
172,saint george,20,GR,1516866600,65,39.45,22.34,41.0,8.05
173,esil,0,KZ,1516867579,70,51.96,66.41,-9.7,8.1
174,massakory,0,TD,1516867580,29,13.0,15.73,73.91,16.6
175,nova olinda do norte,56,BR,1516867581,99,-3.89,-59.1,73.96,2.73
176,severo-kurilsk,92,RU,1516867191,95,50.68,156.12,33.64,22.3
177,svetogorsk,90,FI,1516866600,97,61.11,28.87,33.8,10.29
178,hambantota,0,LK,1516867583,96,6.12,81.12,82.91,5.97
179,samsun,90,TR,1516863000,100,41.29,36.33,33.8,13.87
180,kijang,0,KR,1516863600,42,35.24,129.21,30.2,14.99
181,zinder,8,NE,1516867584,33,13.81,8.99,72.83,12.57
182,lixourion,20,GR,1516866600,100,38.2,20.43,48.2,6.93
183,seoul,0,KR,1516863600,30,37.57,126.98,15.8,11.41
184,tacna,90,PE,1516863600,77,-18.01,-70.25,68.0,2.17
185,hithadhoo,56,MV,1516867586,100,-0.6,73.08,81.88,15.48
186,sola,90,FI,1516864800,95,62.78,29.36,32.0,11.41
187,touho,92,NC,1516867587,71,-20.78,165.23,77.2,7.65
188,broome,20,GB,1516866960,93,52.47,1.45,42.8,11.41
189,redmond,75,US,1516865520,86,47.67,-122.12,42.8,18.34
190,santa fe,36,AR,1516867589,62,-31.62,-60.7,66.17,13.58
191,san antonio,90,CL,1516863600,87,-33.58,-71.61,59.0,3.36
192,saint-augustin,0,FR,1516865400,93,44.83,-0.61,50.0,10.29
193,muros,75,ES,1516865400,100,42.77,-9.06,44.6,9.17
194,marsabit,0,KE,1516867591,46,2.34,37.99,85.84,9.89
195,dafeng,92,CN,1516867591,77,33.2,120.46,32.56,16.26
196,oktyabrskoye,0,RU,1516867592,56,56.73,85.44,-18.7,3.4
197,nyurba,20,RU,1516867104,71,63.29,118.35,-23.65,3.85
198,ternate,75,PH,1516863600,55,14.29,120.72,89.6,9.17
199,iqaluit,5,CA,1516863600,67,63.75,-68.52,-22.01,28.86
200,esperance,44,TT,1516867593,91,10.24,-61.45,75.04,4.74
201,kavaratti,0,IN,1516867594,100,10.57,72.64,80.8,18.05
202,constitucion,80,MX,1516867137,86,23.99,-104.67,40.43,3.4
203,sungairaya,64,ID,1516867595,84,0.7,108.9,81.11,3.96
204,itoman,90,JP,1516866960,67,26.12,127.67,62.6,12.75
205,vila velha,75,BR,1516863600,83,-3.71,-38.6,80.6,8.05
206,leh,48,IN,1516867596,81,34.16,77.58,-3.36,1.72
207,zyryanka,56,RU,1516867597,65,65.73,150.89,-13.98,4.07
208,vung tau,75,VN,1516865400,66,10.35,107.08,87.8,6.93
209,dikson,76,RU,1516867598,93,73.51,80.55,7.63,25.43
210,muisne,80,EC,1516867599,98,0.61,-80.02,70.63,2.84
211,bathsheba,20,BB,1516863600,83,13.22,-59.52,77.0,19.46
